Category,Network
WestQuad,ABC Family
WestQuad,AMC
WestQuad,Animal Planet
WestQuad,BBC America
WestQuad,BET
WestQuad,Big Ten Network
WestQuad,Bravo
WestQuad,Cartoon Network
WestQuad,CNN
WestQuad,Comedy Central
WestQuad,Discovery Channel
WestQuad,Disney
WestQuad,ESPN
WestQuad,ESPN 2
WestQuad,ESPNews
WestQuad,ESPNU
WestQuad,Food Network
WestQuad,Fox News Channel
WestQuad,FS1 (Fox Sports)
WestQuad,FSN Detroit
WestQuad,FX
WestQuad,HGTV
WestQuad,History
WestQuad,IFC
WestQuad,Lifetime
WestQuad,MLB Network
WestQuad,MSNBC
WestQuad,MTV
WestQuad,National Geographic
WestQuad,NBA TV
WestQuad,NFL Network
WestQuad,NHL Network
WestQuad,Nickelodeon
WestQuad,Palladia
WestQuad,Science
WestQuad,Syfy
WestQuad,TBS
WestQuad,The Weather Channel
WestQuad,TLC
WestQuad,TNT
WestQuad,Travel Channel
WestQuad,USA Network
IPTV,WDIV (NBC)
IPTV,WJBK (FOX)
IPTV,WKBD (The CW)
IPTV,WTVS (PBS)
IPTV,WWJ (CBS)
IPTV,WXYZ (ABC)
